fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_laturnerj,results_de_la_islam,results_garrardr,results_absentee_laturnerj,results_absentee_de_la_islam,results_absentee_garrardr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
20059,Franklin,12279,5318,23,24,Released as a precinct as first report of the night,100,11416,100%,100% reported,edison,4,all,4554,8190,3300,789,2982,2063,273,2021-01-07T14:48:01Z,39.82409,R+40,LaTurner +40,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20085,Jackson,6545,0,19,19,"As a precinct in the FIRST cumulative report, along with regular precincts",100,6383,100%,100% reported,edison,6,unknown,1650,4199,2040,306,0,0,0,2021-01-07T14:48:23Z,32.98701,R+33,LaTurner +33,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20087,Jefferson,9738,0,14,14,Released as a precinct at the end of tabulation,100,9470,100%,100% reported,edison,6,all,2168,6055,3235,448,0,0,0,2021-01-07T14:48:43Z,28.95872,R+29,LaTurner +29,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20099,Labette,8479,0,37,37,Merged into voters' home precincts and released with cumulative results,100,8466,100%,100% reported,edison,4,some,1555,5471,2587,421,0,0,0,2021-01-26T15:21:56Z,34.01344,R+34,LaTurner +34,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20103,Leavenworth,36020,22386,43,43,Merged into voters' home precincts and released with cumulative results,100,27120,100%,100% reported,edison,4,all,24109,21177,13054,1789,11543,9928,915,2021-01-07T14:49:31Z,22.55136,R+23,LaTurner +23,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20107,Linn,4982,0,14,14,Released as a separate subtotal as first report of the night,100,4336,100%,100% reported,edison,6,unknown,2166,3816,876,290,0,0,0,2021-01-07T14:49:53Z,59.01244,R+59,LaTurner +59,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20117,Marshall,2668,0,17,17,Released separately AFTER election night,100,2622,100%,100% reported,edison,6,all,3797,1873,665,130,0,0,0,2021-01-26T15:22:39Z,45.27736,R+45,LaTurner +45,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20121,Miami,10595,0,27,27,Other,100,9537,100%,100% reported,edison,4,unknown,12187,7069,3059,467,0,0,0,2021-01-07T14:57:16Z,37.84804,R+38,LaTurner +38,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20125,Montgomery,13277,6508,59,59,Other,100,12487,100%,100% reported,edison,2,some,3789,9778,3060,439,4315,2010,183,2021-01-26T15:22:57Z,50.59878,R+51,LaTurner +51,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20131,Nemaha,5634,1425,30,30,Other,100,5517,100%,100% reported,edison,6,all,1677,4451,1033,150,942,446,37,2021-01-26T15:23:08Z,60.66738,R+61,LaTurner +61,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20133,Neosho,6795,0,25,25,Other,100,6584,100%,100% reported,edison,4,none,1330,4845,1663,287,0,0,0,2021-01-26T15:23:13Z,46.82855,R+47,LaTurner +47,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20139,Osage,7940,0,23,24,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,7779,100%,100% reported,edison,6,all,2317,5242,2285,413,0,0,0,2021-01-07T14:51:52Z,37.24181,R+37,LaTurner +37,republican,laturnerj,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
20177,Shawnee,85418,41846,223,223,Released as a precinct as first report of the night,100,84777,100%,100% reported,edison,4,all,36528,39184,43491,2743,14327,26588,931,2021-01-06T22:14:15Z,5.04226,D+5,De La Isla +5,democrat,de_la_islam,KS-G-H-2-2020-11-03,ks-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,likely-rep,2,District 2,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",336315,88071,11,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,914,917,99% reporting,99%,100,336316,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:47Z,FALSE,14.51437,48814,R+15,LaTurner +15,republican,FALSE,"","",3,0,1604462644104,FALSE
