fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
12029,Dixie,8167,5627,11,12,Released as a separate subtotal as first report of the night,100,8170,>98%,>98% reported,edison,6,some,,5219,,,6759,1365,27,5,2,5,4,,4523,1104,0,0,0,0,0,,2020-11-16T15:49:12Z,66.04628,R+66,Trump +66,republican,66.04628,7246,62.8,6941,46.88,florida,2020-11-16T17:21:01.086691Z
12031,Duval,492743,0,199,199,Released as a precinct as first report of the night,100,491584,>98%,>98% reported,edison,6,all,,411733,,,233762,252556,4788,772,328,319,218,0,0,0,0,0,0,0,0,0,2020-11-16T15:53:53Z,3.81416,D+4,Biden +4,democrat,-3.81416,436573,1.4,411848,3.61,florida,2020-11-16T17:21:01.086691Z
12033,Escambia,170339,0,80,80,Released as a precinct as first report of the night,92,184979,92%,92% reported,edison,4,some,,132013,,,96674,70929,2146,256,137,105,92,0,0,0,0,0,0,0,0,0,2020-11-16T15:54:29Z,15.11398,R+15,Trump +15,republican,15.11398,154172,20.3,148502,20.56,florida,2020-11-16T17:21:01.086691Z
12035,Flagler,71711,0,25,25,Released as a precinct as first report of the night,100,69764,>98%,>98% reported,edison,2,unknown,,48915,,,43043,28161,359,69,29,30,20,,0,0,0,0,0,0,0,,2020-11-16T15:49:12Z,20.75274,R+21,Trump +21,republican,20.75274,57987,20.4,50595,7.44,florida,2020-11-16T17:21:01.086691Z
12037,Franklin,6849,5119,8,8,Released as a precinct as first report of the night,100,6851,>98%,>98% reported,edison,6,all,,4651,,,4675,2120,27,12,8,4,3,,3252,1828,18,10,5,4,2,,2020-11-16T15:49:12Z,37.30472,R+37,Trump +37,republican,37.30472,6059,39.3,5474,31.51,florida,2020-11-16T17:21:01.086691Z
12039,Gadsden,23762,17995,25,25,Released as a precinct as first report of the night,100,23783,>98%,>98% reported,edison,6,all,,21954,,,7465,16153,96,21,10,8,9,,5144,12772,51,14,5,5,4,,2020-11-16T15:49:12Z,36.56258,D+37,Biden +37,democrat,-36.56258,22214,-37.3,22499,-40.62,florida,2020-11-16T17:21:01.086691Z
12041,Gilchrist,9682,6034,10,10,Released as a precinct as first report of the night,100,9212,>98%,>98% reported,edison,2,some,,5958,,,7895,1700,61,13,2,6,5,0,4710,1324,0,0,0,0,0,0,2020-11-16T15:48:26Z,63.98471,R+64,Trump +64,republican,63.98471,8472,62.3,7909,50.98,florida,2020-11-16T17:21:01.086691Z
12043,Glades,5193,0,13,13,Released as a precinct as first report of the night,100,4762,>98%,>98% reported,edison,4,some,,2314,,,3782,1385,21,4,1,0,0,,0,0,0,0,0,0,0,,2020-11-16T15:49:12Z,46.15829,R+46,Trump +46,republican,46.15829,4382,39.4,3989,18.58,florida,2020-11-16T17:21:01.086691Z
12045,Gulf,8163,0,10,10,Released as a precinct as first report of the night,100,8170,>98%,>98% reported,edison,6,all,,7363,,,6113,1985,48,5,0,6,6,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:27Z,50.56964,R+51,Trump +51,republican,50.56964,7331,49.2,7108,41.94,florida,2020-11-16T17:21:01.086691Z
12047,Hamilton,5829,4025,8,8,Merged into voters' home precincts and released with cumulative results,100,5832,>98%,>98% reported,edison,6,all,,4475,,,3815,1963,33,8,2,6,2,0,2656,1337,20,5,2,5,0,0,2020-11-16T15:48:27Z,31.77217,R+32,Trump +32,republican,31.77217,5491,28,5407,16.83,florida,2020-11-16T17:21:01.086691Z
12049,Hardee,8485,4917,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8475,>98%,>98% reported,edison,6,all,,6306,,,6122,2298,40,8,6,10,1,,3652,1212,40,4,3,5,1,,2020-11-16T15:48:28Z,45.06777,R+45,Trump +45,republican,45.06777,7645,40.5,7226,30.9,florida,2020-11-16T17:21:01.086691Z
12051,Hendry,12939,10106,10,10,Released as a separate subtotal as first report of the night,100,12944,>98%,>98% reported,edison,6,all,,9245,,,7906,4929,65,13,8,11,7,,6101,3932,43,10,7,7,6,,2020-11-16T15:49:13Z,23.00796,R+23,Trump +23,republican,23.00796,11182,14.1,10185,5.93,florida,2020-11-16T17:21:01.086691Z
12053,Hernando,108941,82689,32,32,Released as a separate subtotal as first report of the night,100,109176,>98%,>98% reported,edison,6,all,,64893,,,70321,37446,685,148,44,62,235,0,50470,31603,415,93,34,47,27,0,2020-11-16T15:48:29Z,30.17688,R+30,Trump +30,republican,30.17688,94651,28.7,83667,8.5,florida,2020-11-16T17:21:01.086691Z
12055,Highlands,52167,39872,23,25,Released as a separate subtotal as first report of the night,98,53000,98%,98% reported,edison,4,all,,42875,,,34873,16938,223,53,24,28,28,,25633,14011,138,32,14,20,24,,2020-11-16T15:48:29Z,34.37997,R+34,Trump +34,republican,34.37997,46011,31.8,42444,23.01,florida,2020-11-16T17:21:01.086691Z
12057,Hillsborough,711990,603967,390,390,Released as a precinct as first report of the night,100,709040,>98%,>98% reported,edison,6,unknown,,541850,,,327398,376367,5665,1187,529,574,270,,263524,334308,4165,907,404,435,224,,2020-11-16T15:48:29Z,6.87777,D+7,Biden +7,democrat,-6.87777,603890,-6.8,542102,-6.69,florida,2020-11-16T17:21:01.086691Z
12059,Holmes,9068,5634,8,8,Released as a precinct as first report of the night,100,9072,>98%,>98% reported,edison,6,unknown,,6853,,,8080,924,48,9,1,2,4,,4915,719,0,0,0,0,0,,2020-11-16T15:56:55Z,78.91487,R+79,Trump +79,republican,78.91487,8556,77.5,8274,68.35,florida,2020-11-16T17:21:01.086691Z
12061,Indian River,97481,81466,36,36,Released as a separate subtotal as first report of the night,100,97069,>98%,>98% reported,edison,4,some,,77486,,,58872,37844,534,117,33,43,38,,47107,33989,370,0,0,0,0,,2020-11-16T15:49:13Z,21.57138,R+22,Trump +22,republican,21.57138,80769,24.2,71464,22.33,florida,2020-11-16T17:21:01.086691Z
12063,Jackson,22414,17233,14,14,Released as a precinct as first report of the night,100,22415,>98%,>98% reported,edison,6,all,,19451,,,15488,6766,116,13,13,13,5,0,11587,5573,73,0,0,0,0,0,2020-11-16T17:09:45Z,38.91318,R+39,Trump +39,republican,38.91318,21159,37.1,20941,29.01,florida,2020-11-16T17:21:01.086691Z
12065,Jefferson,8448,5801,16,16,Released as a precinct as first report of the night,100,8459,>98%,>98% reported,edison,6,all,,6382,,,4479,3897,46,13,4,4,5,,2950,2811,26,8,3,3,0,,2020-11-16T15:49:13Z,6.8892,R+7,Trump +7,republican,6.8892,7689,5.1,7808,-1.75,florida,2020-11-16T17:21:01.086691Z
12067,Lafayette,3658,2375,5,5,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3657,>98%,>98% reported,edison,6,all,,2546,,,3128,510,14,2,1,1,2,,2021,343,8,0,1,0,2,,2020-11-16T15:56:55Z,71.56916,R+72,Trump +72,republican,71.56916,3411,67.2,3399,58.28,florida,2020-11-16T17:21:01.086691Z
12069,Lake,211298,192802,107,107,Released as a precinct as first report of the night,100,211314,>98%,>98% reported,edison,6,all,,141477,,,125859,83505,1385,254,96,120,79,,112902,78245,1168,226,88,101,72,,2020-11-16T15:56:55Z,20.04468,R+20,Trump +20,republican,20.04468,171799,22.9,150811,17.14,florida,2020-11-16T17:21:01.086691Z
12071,Lee,393882,378985,127,127,Released as a separate subtotal as first report of the night,100,391934,>98%,>98% reported,edison,6,unknown,,227958,,,233247,157695,2016,440,176,187,121,,224393,151889,1858,410,158,170,107,,2020-11-16T15:47:45Z,19.18138,R+19,Trump +19,republican,19.18138,329554,20.2,266166,16.53,florida,2020-11-16T17:21:01.086691Z
12073,Leon,162876,130320,133,153,Released as a precinct as first report of the night,87,187122,87%,87% reported,edison,2,some,,120819,,,57453,103517,1344,271,122,98,71,0,41590,87532,917,199,82,0,0,0,2020-11-16T17:08:26Z,28.28164,D+28,Biden +28,democrat,-28.28164,153881,-24.9,148353,-23.64,florida,2020-11-16T17:21:01.086691Z
12075,Levy,23144,15522,13,13,Released as a precinct as first report of the night,98,23500,98%,98% reported,edison,2,all,,14018,,,16749,6205,131,25,7,14,13,,10584,4814,78,19,6,10,11,,2020-11-16T17:17:34Z,45.55824,R+46,Trump +46,republican,45.55824,19499,44.5,18399,32.26,florida,2020-11-16T17:21:01.086691Z
12077,Liberty,3561,2450,8,8,"As a precinct in the FIRST cumulative report, along with regular precincts",100,3562,>98%,>98% reported,edison,6,all,,2738,,,2846,694,14,2,2,2,1,,1950,500,0,0,0,0,0,,2020-11-16T15:56:55Z,60.43246,R+60,Trump +60,republican,60.43246,3312,57.1,3284,41.38,florida,2020-11-16T17:21:01.086691Z
12079,Madison,9380,7643,6,6,Released as a precinct as first report of the night,100,9376,>98%,>98% reported,edison,6,all,,8256,,,5576,3747,32,13,4,3,5,0,4502,3098,21,11,3,3,5,0,2020-11-16T15:47:49Z,19.49893,R+19,Trump +19,republican,19.49893,8540,15.5,8715,3.42,florida,2020-11-16T17:21:01.086691Z
12081,Manatee,216941,173066,70,70,Released as a separate subtotal as first report of the night,100,217116,>98%,>98% reported,edison,2,all,,99579,,,124987,90166,1287,258,78,96,69,,94467,77508,828,187,76,0,0,,2020-11-16T15:47:50Z,16.05091,R+16,Trump +16,republican,16.05091,180757,17,153491,12.46,florida,2020-11-16T17:21:01.086691Z
12083,Marion,204361,152294,122,125,Released as a separate subtotal as first report of the night,100,204577,>98%,>98% reported,edison,6,all,,131621,,,127826,74858,1180,228,98,91,80,,89012,62559,723,0,0,0,0,,2020-11-16T17:17:29Z,25.91884,R+26,Trump +26,republican,25.91884,175900,26,161385,16.24,florida,2020-11-16T17:21:01.086691Z
12085,Martin,98724,83679,28,28,Released as a separate subtotal as first report of the night,100,98887,>98%,>98% reported,edison,6,all,,92429,,,61168,36893,448,105,35,38,37,,49795,33389,324,79,26,32,34,,2020-11-16T15:49:14Z,24.58875,R+25,Trump +25,republican,24.58875,86633,26.6,78873,22.92,florida,2020-11-16T17:21:01.086691Z
12086,Miami-Dade,1156789,1148798,859,859,Released as a separate subtotal as first report of the night,96,1205651,96%,96% reported,edison,4,unknown,,773122,,,532833,617864,3329,1289,579,602,293,,529716,613086,3274,1268,569,594,291,,2020-11-16T15:49:12Z,7.35061,D+7,Biden +7,democrat,-7.35061,987191,-29.4,878314,-23.73,florida,2020-11-16T17:21:01.086691Z
12087,Monroe,48025,37383,33,33,Released as a precinct as first report of the night,93,51535,93%,93% reported,edison,2,some,,39814,,,25693,21881,348,51,14,26,12,,18585,18572,226,0,0,0,0,,2020-11-16T15:49:14Z,7.93753,R+8,Trump +8,republican,7.93753,42977,6.8,39057,-0.44,florida,2020-11-16T17:21:01.086691Z
12089,Nassau,58806,58550,15,15,Released as a precinct as first report of the night,100,58738,>98%,>98% reported,edison,6,all,,46578,,,42566,15564,569,43,12,28,24,,42388,15489,566,43,12,28,24,,2020-11-16T15:49:14Z,45.91708,R+46,Trump +46,republican,45.91708,46992,49.8,40528,48.55,florida,2020-11-16T17:21:01.086691Z
12091,Okaloosa,116338,0,52,52,Released as a precinct as first report of the night,95,122360,95%,95% reported,edison,4,all,,88549,,,79798,34248,1881,183,73,76,79,,0,0,0,0,0,0,0,,2020-11-16T15:49:14Z,39.15316,R+39,Trump +39,republican,39.15316,102096,47.1,94798,49.31,florida,2020-11-16T17:21:01.086691Z
12093,Okeechobee,15953,11597,11,11,Released as a separate subtotal as first report of the night,100,14937,>98%,>98% reported,edison,4,all,,10432,,,11470,4390,66,7,4,8,8,,8081,3455,42,6,1,5,7,,2020-11-16T15:56:55Z,44.38037,R+44,Trump +44,republican,44.38037,13761,39.2,12324,20.06,florida,2020-11-16T17:21:01.086691Z
12095,Orange,647296,532878,238,247,Released as a separate subtotal as first report of the night,96,671918,96%,96% reported,edison,4,unknown,,424003,,,245398,395014,4685,1146,444,386,223,,186196,341876,3200,844,326,267,169,,2020-11-16T15:47:59Z,23.114,D+23,Biden +23,democrat,-23.114,551902,-24.4,466359,-18.24,florida,2020-11-16T17:21:01.086691Z
12097,Osceola,172407,142872,100,100,Released as a separate subtotal as first report of the night,100,168293,>98%,>98% reported,edison,6,unknown,,109152,,,73480,97297,964,290,140,166,70,,57676,83996,689,220,110,123,58,,2020-11-16T15:47:59Z,13.8144,D+14,Biden +14,democrat,-13.8144,141468,-24.9,108698,-24.51,florida,2020-11-16T17:21:01.086691Z
12099,Palm Beach,773093,614147,797,798,Released as a precinct as first report of the night,95,814668,95%,95% reported,edison,2,some,,408584,,,334711,433572,3040,891,335,356,188,,238940,372169,1965,615,215,243,0,,2020-11-16T15:48:01Z,12.78772,D+13,Biden +13,democrat,-12.78772,666212,-15.4,600721,-17.02,florida,2020-11-16T17:21:01.086691Z
12101,Pasco,301937,0,111,111,Released as a separate subtotal as first report of the night,100,298744,>98%,>98% reported,edison,6,all,,193701,,,179621,119073,2265,467,169,200,142,0,0,0,0,0,0,0,0,0,2020-11-16T15:54:43Z,20.05319,R+20,Trump +20,republican,20.05319,243265,21.4,213573,6.63,florida,2020-11-16T17:21:01.086691Z
12103,Pinellas,559654,559121,301,301,Released as a precinct as first report of the night,92,605656,92%,92% reported,edison,4,all,,462237,,,276209,277450,4268,912,311,305,199,,275949,277191,4257,910,310,305,199,,2020-11-16T15:49:15Z,0.22174,D+0.22,Biden +0.22,democrat,-0.22174,497485,1.1,457702,-5.65,florida,2020-11-16T17:21:01.086691Z
12105,Polk,343216,242629,167,167,Released as a separate subtotal as first report of the night,100,342615,>98%,>98% reported,edison,6,some,,195002,,,194586,145049,2595,425,217,204,140,,125948,114613,1439,269,147,126,87,,2020-11-16T15:49:15Z,14.43318,R+14,Trump +14,republican,14.43318,286969,13.9,248683,6.82,florida,2020-11-16T17:21:01.086691Z
12107,Putnam,36372,25591,35,35,Released as a precinct as first report of the night,100,36384,>98%,>98% reported,edison,6,all,,27784,,,25514,10527,226,50,21,14,20,,17052,8419,120,0,0,0,0,,2020-11-16T15:49:15Z,41.20477,R+41,Trump +41,republican,41.20477,33301,36.2,31324,24.45,florida,2020-11-16T17:21:01.086691Z
12113,Santa Rosa,106925,0,41,41,Released as a separate subtotal as first report of the night,100,106454,>98%,>98% reported,edison,4,some,,63466,,,77385,27612,1645,122,46,60,55,0,0,0,0,0,0,0,0,0,2020-11-16T15:56:39Z,46.54945,R+47,Trump +47,republican,46.54945,88684,52.9,76846,52.6,florida,2020-11-16T17:21:01.086691Z
12115,Sarasota,270548,226093,99,99,Released as a precinct as first report of the night,96,281747,96%,96% reported,edison,4,all,,207136,,,148370,120110,1507,284,105,102,70,,115275,109399,1006,198,77,81,57,,2020-11-16T15:49:16Z,10.44547,R+10,Trump +10,republican,10.44547,231353,11.5,207480,7.42,florida,2020-11-16T17:21:01.086691Z
12117,Seminole,260765,216731,80,80,Released as a separate subtotal as first report of the night,94,276622,94%,94% reported,edison,4,unknown,,191909,,,125241,132528,2215,406,137,135,103,,98372,116265,1535,291,99,96,73,,2020-11-16T15:48:07Z,2.79447,D+3,Biden +3,democrat,-2.79447,227526,1.6,208620,6.47,florida,2020-11-16T17:21:01.086691Z
12109,St. Johns,176618,149800,48,48,Released as a separate subtotal as first report of the night,99,178000,>98%,>98% reported,edison,4,all,,121728,,,110946,63850,1413,210,54,101,44,,90750,57747,1004,144,39,82,34,,2020-11-16T15:49:15Z,26.66546,R+27,Trump +27,republican,26.66546,137846,33.1,114795,37.74,florida,2020-11-16T17:21:01.086691Z
12111,St. Lucie,172159,140354,64,64,Released as a separate subtotal as first report of the night,100,170879,>98%,>98% reported,edison,4,all,,119037,,,86831,84137,768,209,82,71,61,,66257,73285,516,137,60,53,46,,2020-11-16T15:48:04Z,1.56483,R+1.6,Trump +1.6,republican,1.56483,141993,2.4,123027,-7.86,florida,2020-11-16T17:21:01.086691Z
12119,Sumter,92484,0,26,26,Merged into voters' home precincts and released with cumulative results,98,94298,98%,98% reported,edison,2,some,,71187,,,62761,29341,269,39,20,25,29,,0,0,0,0,0,0,0,,2020-11-16T15:49:16Z,36.13598,R+36,Trump +36,republican,36.13598,77238,39,60479,34.92,florida,2020-11-16T17:21:01.086691Z
12121,Suwannee,21057,14710,16,16,Released as a precinct as first report of the night,100,20452,>98%,>98% reported,edison,2,some,,14190,,,16410,4485,119,23,8,6,6,,10983,3637,60,16,5,5,4,,2020-11-16T15:48:10Z,56.632,R+57,Trump +57,republican,56.632,18787,54.9,17629,44.93,florida,2020-11-16T17:21:01.086691Z
12123,Taylor,10125,7339,14,14,Released as a separate subtotal as first report of the night,100,10101,>98%,>98% reported,edison,6,all,,7466,,,7751,2299,52,11,6,3,3,,5514,1781,29,6,6,2,1,,2020-11-16T15:48:11Z,53.84691,R+54,Trump +54,republican,53.84691,9348,51.1,9120,38.21,florida,2020-11-16T17:21:01.086691Z
12125,Union,6245,0,8,8,Released as a precinct as first report of the night,100,6247,>98%,>98% reported,edison,6,all,,4488,,,5133,1053,42,5,3,4,5,0,0,0,0,0,0,0,0,0,2020-11-16T15:55:21Z,65.33227,R+65,Trump +65,republican,65.33227,5722,62.1,5393,48.97,florida,2020-11-16T17:21:01.086691Z
12127,Volusia,307416,241192,125,125,Released as a precinct as first report of the night,97,316493,97%,97% reported,edison,4,some,,201504,,,173821,130575,2156,390,173,160,141,,127235,111838,1455,289,135,122,118,,2020-11-16T15:49:17Z,14.06758,R+14,Trump +14,republican,14.06758,263278,12.9,234536,1.17,florida,2020-11-16T17:21:01.086691Z
12129,Wakulla,18404,12922,12,12,Released as a separate subtotal as first report of the night,98,18700,98%,98% reported,edison,4,all,,14003,,,12874,5351,135,18,6,10,10,,8728,4052,104,16,5,9,8,,2020-11-16T17:09:22Z,40.87698,R+41,Trump +41,republican,40.87698,15444,39.9,14660,28.07,florida,2020-11-16T17:21:01.086691Z
12131,Walton,43708,32367,21,21,Merged into voters' home precincts and released with cumulative results,100,40810,>98%,>98% reported,edison,4,some,,24936,,,32947,10338,336,43,15,16,13,,23407,8755,205,0,0,0,0,,2020-11-16T15:49:17Z,51.72737,R+52,Trump +52,republican,51.72737,33898,55.7,28494,52.01,florida,2020-11-16T17:21:01.086691Z
12133,Washington,12327,11719,12,12,Merged into voters' home precincts and released with cumulative results,100,12325,>98%,>98% reported,edison,6,all,,9528,,,9876,2347,69,15,10,5,5,,9371,2245,68,15,10,5,5,,2020-11-16T15:48:15Z,61.07731,R+61,Trump +61,republican,61.07731,11211,56.8,10999,47.44,florida,2020-11-16T17:21:01.086691Z
