fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_write_ins,results_pierceb,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_pierceb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36037,Genesee,29204,0,51,52,Merged into voters' home precincts AFTER election night,99,29604,>98%,>98% reported,edison,2,unknown,,,,,9625,18876,456,109,0,138,0,0,0,0,0,0,2020-11-24T13:22:37Z,31.67717,R+32,Trump +32,republican,31.67717,26432,35.1,24746,20.23,new-york,2020-12-03T13:24:17.692504Z
36039,Greene,25194,0,52,52,Merged into voters' home precincts AFTER election night,100,24696,>98%,>98% reported,edison,4,some,,,,,10346,14271,305,121,60,91,0,0,0,0,0,0,2020-12-01T15:29:47Z,15.57911,R+16,Trump +16,republican,15.57911,22050,25.7,20668,10.37,new-york,2020-12-03T13:24:17.692504Z
36041,Hamilton,3460,0,9,11,Merged into voters' home precincts AFTER election night,96,3612,96%,96% reported,edison,2,unknown,,,,,1178,2225,41,7,1,8,0,0,0,0,0,0,2020-11-24T13:22:40Z,30.26012,R+30,Trump +30,republican,30.26012,3225,34.6,3113,25.83,new-york,2020-12-03T13:24:17.692504Z
36043,Herkimer,24766,0,50,59,Merged into voters' home precincts AFTER election night,84,29406,84%,84% reported,edison,2,unknown,,,,,7282,17038,239,80,47,80,0,0,0,0,0,0,2020-11-24T13:22:41Z,39.39272,R+39,Trump +39,republican,39.39272,26255,32.8,25040,8.02,new-york,2020-12-03T13:24:17.692504Z
36045,Jefferson,43848,0,69,69,Merged into voters' home precincts AFTER election night,100,42824,>98%,>98% reported,edison,2,unknown,,,,,17307,25629,537,186,0,189,0,0,0,0,0,0,2020-11-24T13:22:43Z,18.9792,R+19,Trump +19,republican,18.9792,38236,20.8,35708,2.86,new-york,2020-12-03T13:24:17.692504Z
36049,Lewis,12964,0,31,36,Merged into voters' home precincts AFTER election night,100,12684,>98%,>98% reported,edison,2,unknown,,,,,3823,8890,126,46,32,47,0,0,0,0,0,0,2020-11-24T13:22:44Z,39.08516,R+39,Trump +39,republican,39.08516,11325,37.6,10522,8.81,new-york,2020-12-03T13:24:17.692504Z
36051,Livingston,31401,0,37,40,Merged into voters' home precincts AFTER election night,93,33635,93%,93% reported,edison,2,unknown,,,,,12477,18182,460,128,14,140,0,0,0,0,0,0,2020-11-24T13:22:45Z,18.16821,R+18,Trump +18,republican,18.16821,30031,22,26770,10.25,new-york,2020-12-03T13:24:17.692504Z
36053,Madison,34038,0,52,52,Merged into voters' home precincts AFTER election night,100,33672,>98%,>98% reported,edison,4,some,,,,,14807,18408,476,185,9,153,0,0,0,0,0,0,2020-12-02T19:45:06Z,10.57935,R+11,Trump +11,republican,10.57935,30064,14.2,28094,-0.89,new-york,2020-12-03T13:24:17.692504Z
36061,Manhattan,694904,0,1097,1183,Merged into voters' home precincts AFTER election night,93,749213,93%,93% reported,edison,2,some,,,,,603040,85185,3329,2694,0,656,0,0,0,0,0,0,2020-12-01T22:54:32Z,74.5218,D+75,Biden +75,democrat,-74.5218,668940,-76.9,599747,-68.82,new-york,2020-12-03T13:24:17.692504Z
36055,Monroe,380983,102520,827,827,Merged into voters' home precincts AFTER election night,98,389525,98%,98% reported,edison,4,unknown,,,,,225746,145661,4865,1529,1397,1785,77533,22295,1127,513,526,526,2020-11-28T14:24:17Z,21.02062,D+21,Biden +21,democrat,-21.02062,347790,-15,333813,-18.02,new-york,2020-12-03T13:24:17.692504Z
36057,Montgomery,17615,0,16,19,Merged into voters' home precincts AFTER election night,88,20000,88%,88% reported,edison,4,unknown,,,,,5746,11500,215,64,20,70,0,0,0,0,0,0,2020-11-24T13:22:50Z,32.66534,R+33,Trump +33,republican,32.66534,19054,24.7,18186,4.62,new-york,2020-12-03T13:24:17.692504Z
36059,Nassau,732756,0,1205,1205,Merged into voters' home precincts AFTER election night,100,650000,>98%,>98% reported,edison,4,some,,,,,396504,326716,3594,1924,2117,1901,0,0,0,0,0,0,2020-11-30T21:05:17Z,9.52404,D+10,Biden +10,democrat,-9.52404,647122,-6.2,568151,-7.64,new-york,2020-12-03T13:24:17.692504Z
36063,Niagara,104080,0,180,180,Merged into voters' home precincts AFTER election night,100,103490,>98%,>98% reported,edison,2,unknown,,,,,46029,56068,1133,371,0,479,0,0,0,0,0,0,2020-11-28T14:05:07Z,9.64547,R+10,Trump +10,republican,9.64547,92402,17.8,89013,-0.84,new-york,2020-12-03T13:24:17.692504Z
36065,Oneida,84273,0,158,192,Merged into voters' home precincts AFTER election night,83,101930,83%,83% reported,edison,2,some,,,,,30542,51950,1004,293,174,310,0,0,0,0,0,0,2020-11-24T13:22:53Z,25.40315,R+25,Trump +25,republican,25.40315,91009,19.4,86700,4.69,new-york,2020-12-03T13:24:17.692504Z
36067,Onondaga,221325,43928,406,428,Merged into voters' home precincts AFTER election night,95,233453,95%,95% reported,edison,2,unknown,,,,,127514,88127,2386,1708,786,804,33664,9133,384,411,187,149,2020-12-01T16:13:00Z,17.796,D+18,Biden +18,democrat,-17.796,208440,-13.8,204717,-21.21,new-york,2020-12-03T13:24:17.692504Z
36069,Ontario,47830,0,75,92,Merged into voters' home precincts AFTER election night,82,58529,82%,82% reported,edison,2,unknown,,,,,20779,25757,823,213,,258,0,0,0,0,,0,2020-11-24T13:22:56Z,10.40769,R+10,Trump +10,republican,10.40769,52527,7.2,47853,1.53,new-york,2020-12-03T13:24:17.692504Z
36071,Orange,139956,0,271,330,Merged into voters' home precincts AFTER election night,82,170264,82%,82% reported,edison,2,unknown,,,,,61868,76218,1097,379,,394,0,0,0,0,,0,2020-11-24T13:22:58Z,10.25322,R+10,Trump +10,republican,10.25322,152021,5.5,140628,-5.65,new-york,2020-12-03T13:24:17.692504Z
36073,Orleans,18154,0,40,40,Merged into voters' home precincts AFTER election night,99,18346,>98%,>98% reported,edison,2,unknown,,,,,5587,12126,313,50,7,71,0,0,0,0,0,0,2020-11-24T13:22:59Z,36.01961,R+36,Trump +36,republican,36.01961,16380,39.5,14706,19.09,new-york,2020-12-03T13:24:17.692504Z
36075,Oswego,53787,9142,110,110,Merged into voters' home precincts AFTER election night,100,53962,>98%,>98% reported,edison,2,unknown,,,,,20824,31677,682,278,123,203,6147,2763,97,69,24,42,2020-11-24T13:23:00Z,20.17774,R+20,Trump +20,republican,20.17774,48180,22,44591,-7.93,new-york,2020-12-03T13:24:17.692504Z
36077,Otsego,28075,0,48,49,Merged into voters' home precincts AFTER election night,98,28748,98%,98% reported,edison,2,unknown,,,,,12986,14366,407,136,84,96,0,0,0,0,0,0,2020-11-24T13:23:00Z,4.91541,R+5,Trump +5,republican,4.91541,25668,11.1,24139,-2.72,new-york,2020-12-03T13:24:17.692504Z
36079,Putnam,55110,4238,86,86,Merged into voters' home precincts AFTER election night,100,54391,>98%,>98% reported,edison,4,some,,,,,24949,29277,411,162,156,155,3160,989,37,21,16,15,2020-11-24T13:23:02Z,7.85338,R+8,Trump +8,republican,7.85338,48563,15.8,44345,10.31,new-york,2020-12-03T13:24:17.692504Z
36081,Queens,787860,0,1295,1295,Merged into voters' home precincts AFTER election night,83,950000,83%,83% reported,edison,2,some,,,,,569038,212665,2483,2969,0,705,0,0,0,0,0,0,2020-12-01T22:16:24Z,45.23304,D+45,Biden +45,democrat,-45.23304,686393,-53.6,595241,-59.16,new-york,2020-12-03T13:24:17.692504Z
36083,Rensselaer,79409,0,71,87,Merged into voters' home precincts AFTER election night,99,80149,>98%,>98% reported,edison,2,unknown,,,,,40969,36500,1016,374,164,386,0,0,0,0,0,0,2020-11-24T13:23:07Z,5.62783,D+6,Biden +6,democrat,-5.62783,71562,1.4,67990,-12.2,new-york,2020-12-03T13:24:17.692504Z
36087,Rockland,150685,0,277,277,Merged into voters' home precincts AFTER election night,100,151282,>98%,>98% reported,edison,4,none,,,,,75791,73180,650,323,407,334,0,0,0,0,0,0,2020-11-24T13:36:50Z,1.73275,D+1.7,Biden +1.7,democrat,-1.73275,135087,-6.2,124645,-6.71,new-york,2020-12-03T13:24:17.692504Z
36089,Saint Lawrence,44907,0,81,81,Merged into voters' home precincts AFTER election night,100,43412,>98%,>98% reported,edison,2,unknown,,,,,19361,24608,437,201,128,172,0,0,0,0,0,0,2020-11-24T13:23:10Z,11.68415,R+12,Trump +12,republican,11.68415,39158,8.8,37191,-16.71,new-york,2020-12-03T13:24:17.692504Z
36091,Saratoga,132655,0,196,196,Merged into voters' home precincts AFTER election night,100,127785,>98%,>98% reported,edison,4,unknown,,,,,68471,61305,1737,511,51,580,0,0,0,0,0,0,2020-11-24T19:19:53Z,5.40198,D+5,Biden +5,democrat,-5.40198,114094,3.2,105510,-2.44,new-york,2020-12-03T13:24:17.692504Z
36093,Schenectady,74826,0,60,60,Merged into voters' home precincts AFTER election night,99,75354,>98%,>98% reported,edison,2,unknown,,,,,42465,30741,923,352,0,345,0,0,0,0,0,0,2020-11-28T13:59:15Z,15.66835,D+16,Biden +16,democrat,-15.66835,67280,-7.1,64933,-15.83,new-york,2020-12-03T13:24:17.692504Z
36095,Schoharie,15710,0,23,23,Merged into voters' home precincts AFTER election night,100,15736,>98%,>98% reported,edison,2,unknown,,,,,5345,9903,282,75,28,77,0,0,0,0,0,0,2020-11-24T13:24:43Z,29.01337,R+29,Trump +29,republican,29.01337,14050,32.7,13207,15.45,new-york,2020-12-03T13:24:17.692504Z
36097,Schuyler,9766,0,19,19,Merged into voters' home precincts AFTER election night,99,9825,>98%,>98% reported,edison,2,unknown,,,,,3903,5621,130,51,28,33,0,0,0,0,0,0,2020-11-24T13:24:43Z,17.59164,R+18,Trump +18,republican,17.59164,8772,22.3,8146,7.45,new-york,2020-12-03T13:24:17.692504Z
36099,Seneca,15630,0,27,27,Merged into voters' home precincts AFTER election night,100,15536,>98%,>98% reported,edison,2,unknown,,,,,6914,8329,193,73,29,92,0,0,0,0,0,0,2020-11-24T13:24:43Z,9.0531,R+9,Trump +9,republican,9.0531,13980,11,13266,-9.08,new-york,2020-12-03T13:24:17.692504Z
36085,Staten Island,216153,0,289,289,Merged into voters' home precincts AFTER election night,100,202691,>98%,>98% reported,edison,2,some,,,,,90997,123320,909,662,0,265,0,0,0,0,0,0,2020-12-01T22:19:55Z,14.95376,R+15,Trump +15,republican,14.95376,180960,15.1,154176,-2.57,new-york,2020-12-03T13:24:17.692504Z
36101,Steuben,38797,0,70,85,Merged into voters' home precincts AFTER election night,82,47042,82%,82% reported,edison,2,unknown,,,,,11299,26781,473,116,,128,0,0,0,0,,0,2020-11-24T13:24:43Z,39.90515,R+40,Trump +40,republican,39.90515,42002,34.1,38531,16.01,new-york,2020-12-03T13:24:17.692504Z
36103,Suffolk,601261,0,829,1052,Merged into voters' home precincts AFTER election night,79,763004,79%,79% reported,edison,4,none,,,,,259463,333617,3578,1496,1146,1961,0,0,0,0,0,0,2020-11-24T13:24:43Z,12.33308,R+12,Trump +12,republican,12.33308,681254,6.8,594266,-3.69,new-york,2020-12-03T13:24:17.692504Z
36105,Sullivan,26931,0,59,73,Merged into voters' home precincts AFTER election night,80,33550,80%,80% reported,edison,2,unknown,,,,,10995,15555,207,86,,88,0,0,0,0,,0,2020-11-24T13:24:43Z,16.93216,R+17,Trump +17,republican,16.93216,29955,11.2,28415,-9.02,new-york,2020-12-03T13:24:17.692504Z
36107,Tioga,25044,4214,41,41,Merged into voters' home precincts AFTER election night,100,24975,>98%,>98% reported,edison,2,unknown,,,,,9634,14791,416,92,14,97,2774,1324,58,24,14,20,2020-12-01T15:43:01Z,20.59176,R+21,Trump +21,republican,20.59176,22299,25.7,21589,14.76,new-york,2020-12-03T13:24:17.692504Z
36109,Tompkins,45735,0,63,63,Merged into voters' home precincts AFTER election night,96,47799,96%,96% reported,edison,2,unknown,,,,,33619,11096,474,365,44,137,0,0,0,0,0,0,2020-12-01T22:38:48Z,49.24675,D+49,Biden +49,democrat,-49.24675,42678,-43.4,39781,-40.56,new-york,2020-12-03T13:24:17.692504Z
36111,Ulster,77667,0,137,168,Merged into voters' home precincts AFTER election night,81,95525,81%,81% reported,edison,2,unknown,,,,,42606,33580,735,458,,288,0,0,0,0,,0,2020-11-24T13:24:44Z,11.62141,D+12,Biden +12,democrat,-11.62141,85290,-11,78315,-22.86,new-york,2020-12-03T13:24:17.692504Z
36113,Warren,36131,0,19,19,Merged into voters' home precincts AFTER election night,100,35177,>98%,>98% reported,edison,2,unknown,,,,,17642,17699,424,204,0,162,0,0,0,0,0,0,2020-11-24T14:16:52Z,0.15776,R+0.16,Trump +0.16,republican,0.15776,31408,8.5,29578,-2.32,new-york,2020-12-03T13:24:17.692504Z
36115,Washington,28138,0,50,50,Merged into voters' home precincts AFTER election night,100,27471,>98%,>98% reported,edison,2,unknown,,,,,11565,15941,340,128,45,119,0,0,0,0,0,0,2020-12-01T15:31:54Z,15.55192,R+16,Trump +16,republican,15.55192,24528,18.4,23095,-1.9,new-york,2020-12-03T13:24:17.692504Z
36117,Wayne,37425,0,56,67,Merged into voters' home precincts AFTER election night,84,44449,84%,84% reported,edison,2,unknown,,,,,12799,23734,573,149,,170,0,0,0,0,,0,2020-11-24T13:24:45Z,29.21844,R+29,Trump +29,republican,29.21844,39687,25,37547,9.12,new-york,2020-12-03T13:24:17.692504Z
36119,Westchester,350749,0,942,942,Merged into voters' home precincts AFTER election night,56,630000,56%,56% reported,edison,2,none,,,,,220963,126013,1953,892,0,928,0,0,0,0,0,0,2020-11-24T13:24:45Z,27.07064,D+27,Biden +27,democrat,-27.07064,420655,-33.7,388447,-25.14,new-york,2020-12-03T13:24:17.692504Z
36121,Wyoming,19431,0,40,40,Merged into voters' home precincts AFTER election night,100,19374,>98%,>98% reported,edison,2,unknown,,,,,5073,13897,267,63,38,93,0,0,0,0,0,0,2020-11-24T13:24:45Z,45.41197,R+45,Trump +45,republican,45.41197,17298,49.4,16335,28.69,new-york,2020-12-03T13:24:17.692504Z
36123,Yates,10741,0,18,18,Merged into voters' home precincts AFTER election night,95,11274,95%,95% reported,edison,2,unknown,,,,,4217,6208,165,60,32,59,0,0,0,0,0,0,2020-11-24T13:24:45Z,18.53645,R+19,Trump +19,republican,18.53645,10066,19.9,9442,3.28,new-york,2020-12-03T13:24:17.692504Z
